stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
3847,13847,California St & Baker St  , ,37.787738,-122.443634, , 
3848,13848,California St & Baker St  , ,37.78762,-122.443384, , 
3852,13852,California St & Cherry St  , ,37.786042,-122.456835, , 
3853,13853,California St & Cherry St  , ,37.785974,-122.456329, , 
3858,13858,California St & Divisadero St , ,37.788087,-122.44087, , 
3859,13859,California St & Divisadero St , ,37.787954,-122.440721, , 
3875,13875,California St & Laurel St  , ,37.786923,-122.449957, , 
3876,13876,California St & Laurel St  , ,37.786801,-122.44998, , 
3884,13884,California St & Pierce St  , ,37.788518,-122.437484, , 
3885,13885,California St & Pierce St  , ,37.788455,-122.436808, , 
3886,13886,California St & Park Presidio Blvd, ,37.784515,-122.47325, , 
3887,13887,California St & Park Presidio Blvd, ,37.784365,-122.472764, , 
3892,13892,California St & Presidio Ave  , ,37.787265,-122.446965, , 
3893,13893,California St & Presidio Ave  , ,37.787212,-122.446931, , 
3896,13896,California St & Spruce St  , ,37.786462,-122.453522, , 
3897,13897,California St & Spruce St  , ,37.786382,-122.45327, , 
3911,13911,Carl St & Cole St  , ,37.765745,-122.450131, , 
3912,13912,Carl St & Hillway Ave  , ,37.765003,-122.456561, , 
3913,13913,Carl St & Hillway Ave  , ,37.764932,-122.456512, , 
3914,13914,Carl St & Stanyan St  , ,37.765495,-122.45259, , 
3915,13915,Carl St & Stanyan St  , ,37.765371,-122.452928, , 
3920,13920,Cashmere St & Hudson Ave  , ,37.73573,-122.38354, , 
3921,13921,Cashmere St & La Salle Ave  , ,37.73585,-122.38695, , 
3922,13922,Cashmere St & Whitney Young Cir, ,37.7366,-122.38588, , 
3927,13927,Cabrillo St & La Playa St, ,37.773527,-122.510002, , 
3940,13940,Chestnut St & Divisadero St  , ,37.800051,-122.442746, , 
3941,13941,Chestnut St & Fillmore St  , ,37.800845,-122.436245, , 
3942,13942,Chestnut St & Fillmore St  , ,37.800738,-122.436371, , 
3947,13947,Chestnut St & Laguna St  , ,37.801486,-122.431475, , 
3948,13948,Chestnut St & Laguna St  , ,37.80137,-122.431406, , 
3952,13952,Chestnut St & Pierce St  , ,37.800506,-122.439352, , 
3953,13953,Chestnut St & Pierce St  , ,37.80031,-122.439616, , 
3957,13957,Chestnut St & Van Ness Ave  , ,37.802199,-122.424894, , 
3958,13958,Chestnut St & Webster St  , ,37.801103,-122.434502, , 
3959,13959,Chestnut St & Webster St  , ,37.800951,-122.434697, , 
3960,13960,Chicago Way & Cordova Ave   , ,37.70887,-122.434222, , 
3961,13961,Chicago Way & Cordova Ave   , ,37.708968,-122.434336, , 
3962,13962,Chicago Way & Naylor St   , ,37.709834,-122.432435, , 
3963,13963,Chicago Way & Naylor St   , ,37.709628,-122.432504, , 
3964,13964,Chicago Way & South Hill Blvd  , ,37.710565,-122.431381, , 
3984,13984,Church St & 16th St  , ,37.764621,-122.428722, , 
4005,14005,Church St & Duboce Ave   , ,37.769499,-122.429167, , 
4006,14006,Church St & Duboce Ave  , ,37.769302,-122.429087, , 
4009,14009,Market St & Church St, ,37.767893,-122.42856, , 
4015,14015,Clay St & Drumm St  , ,37.795436,-122.396819, , 
4016,14016,Clay St & Franklin St  , ,37.791907,-122.424463, , 
4017,14017,Clay St & Front St  , ,37.795116,-122.399101, , 
4018,14018,Clay St & Grant Ave  , ,37.794263,-122.405971, , 
4019,14019,Clay St & Hyde St  , ,37.792756,-122.417899, , 
4020,14020,Clay St & Jones St  , ,37.793173,-122.414616, , 
4021,14021,Clay St & Kearny St  , ,37.794477,-122.404411, , 
4022,14022,Clay St & Larkin St  , ,37.792526,-122.419589, , 
4023,14023,Clay St & Leavenworth St  , ,37.792959,-122.416304, , 
4024,14024,Clay St & Mason St  , ,37.793653,-122.410823, , 
4025,14025,Clay St & Montgomery St  , ,37.794682,-122.40277, , 
4026,14026,Clay St & Polk St  , ,37.792357,-122.42101, , 
4027,14027,Clay St & Powell St  , ,37.793826,-122.409591, , 
4028,14028,Clay St & Sansome St  , ,37.794778,-122.401336, , 
4029,14029,Clay St & Stockton St  , ,37.794082,-122.407561, , 
4030,14030,Clay St & Taylor St  , ,37.793363,-122.412744, , 
4031,14031,Clay St & Van Ness Ave  , ,37.792106,-122.422913, , 
4091,14091,Cole St & Carl St  , ,37.76594,-122.449911, , 
4092,14092,Cole St & Carl St  , ,37.76556,-122.44996, , 
4094,14094,Cole St & Frederick St  , ,37.76683,-122.4502, , 
4095,14095,Cole St & Haight St  , ,37.769456,-122.45061, , 
4096,14096,Cole St & Haight St  , ,37.769447,-122.450771, , 
4099,14099,Cole St & Waller St  , ,37.768528,-122.450427, , 
4100,14100,Columbus Ave & Bay St  , ,37.80551,-122.41784, , 
4103,14103,Columbus Ave & Chestnut St   , ,37.803794,-122.415136, , 
4105,14105,Columbus Ave & Filbert St   , ,37.801188,-122.411605, , 
4106,14106,Columbus Ave & Francisco St   , ,37.804517,-122.416167, , 
4107,14107,Columbus Ave & Francisco St  , ,37.804205,-122.415973, , 
4114,14114,Columbus Ave & Lombard St  , ,37.802598,-122.413646, , 
4115,14115,Columbus Ave & Mason St   , ,37.802089,-122.41266, , 
4116,14116,Columbus Ave & North Point St , ,37.80549,-122.417589, , 
4118,14118,Columbus Ave & Taylor St   , ,37.803285,-122.414643, , 
4119,14119,Columbus Ave & Union St  , ,37.8005,-122.410356, , 
4120,14120,Columbus Ave & Union St  , ,37.800384,-122.410505, , 
4122,14122,General Managers Office, ,37.753902,-122.397341, , 
4123,14123,Connecticut St & 17th St  , ,37.76498,-122.397661, , 
4124,14124,Connecticut St & 17th St  , ,37.764749,-122.397785, , 
4125,14125,Connecticut St & 18th St  , ,37.762614,-122.397569, , 
4128,14128,Connecticut St & 25th St  , ,37.752563,-122.396402, , 
4129,14129,Connecticut St & 26th St  , ,37.75143,-122.396345, , 
4130,14130,Connecticut St & 26th St  , ,37.751269,-122.396517, , 
4131,14131,Connecticut St & Cesar Chavez St , ,37.750002,-122.39622, , 
4132,14132,Connecticut St & Cesar Chavez St , ,37.749868,-122.396381, , 
4137,14137,Cordova Ave & Prague St  , ,37.710182,-122.434874, , 
4138,14138,Cordova Ave & Winding Way  , ,37.709638,-122.434828, , 
4139,14139,Cordova Ave & Winding Way  , ,37.709504,-122.434588, , 
4142,14142,Cortland Ave & Andover St  , ,37.73909,-122.41639, , 
4143,14143,Cortland Ave & Andover St  , ,37.73904,-122.41658, , 
4145,14145,Cortland Ave & Bocana St  , ,37.7393,-122.41846, , 
4146,14146,Cortland Ave & Bocana St  , ,37.73931,-122.41872, , 
4147,14147,Cortland Ave & Bradford St   , ,37.739791,-122.409746, , 
4148,14148,Cortland Ave & Bayshore Blvd , ,37.739567,-122.407031, , 
4149,14149,Cortland Ave & Elsie St   , ,37.73992,-122.41997, , 
4150,14150,Cortland Ave & Elsie St   , ,37.7397,-122.41969, , 
4151,14151,Cortland Ave & Ellsworth St  , ,37.73892,-122.41455, , 
4152,14152,Cortland Ave & Ellsworth St  , ,37.738829,-122.414615, , 
