stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
00949,949,"Blue Gentian Rd at Blue Water Rd N corner",,  44.859547, -93.139094,,,0,
00950,950,"Blue Gentian Rd at Hwy 55 NW corner",,  44.858361, -93.144030,,,0,
00951,951,"Hwy 55 at Northland Dr SE corner",,  44.863606, -93.151499,,,0,
00952,952,"Mendota Heights Rd at Pilot Knob Rd NE corner",,  44.865582, -93.166933,,,0,
00953,953,"Mendota Heights Rd at Pilot Knob Rd SE corner",,  44.865475, -93.166834,,,0,
00954,954,"Hwy 55 at Northland Dr NW corner",,  44.863598, -93.152011,,,0,
00955,955,"Hwy 55 at Eagandale Blvd SW corner",,  44.860024, -93.148524,,,0,
00956,956,"Blue Gentian Rd at Hwy 55 NE corner",,  44.858342, -93.143871,,,0,
00957,957,"Blue Gentian Rd at Blue Water Rd SW corner",,  44.859383, -93.139361,,,0,
00958,958,"Blue Gentian Rd at # 930 S corner",,  44.860253, -93.131907,,,0,
00959,959,"Blue Gentian Rd at Dodd Rd SW corner",,  44.857334, -93.128939,,,0,
00960,960,"Vikings Pkwy at Dodd Rd SE corner",,  44.857316, -93.127749,,,0,
00961,961,"Lone Oak Pkwy at Vikings Pkwy SW corner",,  44.857655, -93.123926,,,0,
00962,962,"Lone Oak Pkwy at USPS/IT-ASC NW corner",,  44.854288, -93.123781,,,0,
00963,963,"Lone Oak Pkwy at Waters Blvd N corner",,  44.853669, -93.125658,,,0,
00964,964,"Dodd Rd (Hwy 149) at Lone Oak Pkwy SW corner",,  44.855175, -93.128901,,,0,
00965,965,"Hwy 55/149 at Dodd Rd SE corner",,  44.851990, -93.129855,,,0,
00966,966,"Hwy 55/149 at Lone Oak Rd SW corner",,  44.847509, -93.126270,,,0,
00967,967,"Dodd Rd (Hwy 149) at Hwy 55 (S) SW corner",,  44.845795, -93.124064,,,0,
00968,968,"Dodd Rd (Hwy 149) at Advantage Ln NW corner",,  44.843377, -93.122500,,,0,
00969,969,"Dodd Rd (Hwy 149) at Rolling Hills Dr W corner",,  44.838799, -93.118830,,,0,
00970,970,"Dodd Rd (Hwy 149) at Yankee Doodle Rd NW corner",,  44.833966, -93.116824,,,0,
00971,971,"Lexington Av at Wescott Rd SW corner",,  44.818936, -93.146929,,,0,
00973,973,"Neil Armstrong Blvd at Aldrin Dr NE corner",,  44.839871, -93.142306,,,0,
00974,974,"Gemini Rd at Neil Armstrong Blvd NW corner",,  44.842305, -93.141871,,,0,
00975,975,"Gemini Rd at Lexington Ave NE corner",,  44.842244, -93.146555,,,0,
00976,976,"Gemini Rd at Lexington Ave SE corner",,  44.842137, -93.146433,,,0,
00977,977,"Gemini Rd at Neil Armstrong Blvd SW corner",,  44.842198, -93.141856,,,0,
00978,978,"Neil Armstrong Blvd at Aldrin Dr W corner",,  44.839844, -93.142481,,,0,
00985,985,"Pennock Ln at 153 St NE corner",,  44.728295, -93.222598,,,0,
00986,986,"Pennock Ln at Grace Lutheran Church E corner",,  44.731018, -93.222643,,,0,
01004,1004,"Pennock Ln at Co Rd 42 SW corner",,  44.731709, -93.223017,,,0,
01005,1005,"Pennock Ln at Fireside Dr NW corner",,  44.729119, -93.222743,,,0,
01062,1062,"Mendota Heights Rd at Medallion Dr S corner",,  44.866097, -93.150568,,,0,
01063,1063,"Mendota Heights Rd at Patterson Co S corner",,  44.865468, -93.141886,,,0,
01064,1064,"South Plaza Dr at Dodd Rd NE corner",,  44.880665, -93.126322,,,0,
01065,1065,"Dodd Rd (Hwy 149) at Mendota Heights Rd NW corner",,  44.865956, -93.129946,,,0,
01066,1066,"Mendota Heights Rd at Patterson Co NE corner",,  44.865624, -93.141650,,,0,
01067,1067,"Lexington Av at Crossroads Church NW corner",,  44.806755, -93.144869,,,0,
01076,1076,"140 St at Garden View Dr NW corner",,  44.748322, -93.238268,,,0,
01077,1077,"140 St at 138 St N corner",,  44.750367, -93.242175,,,0,
01078,1078,"140 St at 135 St NE corner (opp Holyoke Ln)",,  44.752034, -93.244517,,,0,
01079,1079,"140 St at 134 St NE corner",,  44.752964, -93.245776,,,0,
01084,1084,"Pennock Av at Hamburg Ct E corner",,  44.760212, -93.220683,,,0,
01085,1085,"Pennock Av at Palomino Hills  E corner",,  44.764553, -93.219775,,,0,place_PHPR
01097,1097,"140 St at McAndrews Rd SW corner (Co Rd 11)",,  44.754223, -93.247309,,,0,
01098,1098,"140 St at Holyoke Ln SW corner (135 St)",,  44.751744, -93.244296,,,0,
01099,1099,"140 St at 138 St SW corner",,  44.750416, -93.242449,,,0,
01100,1100,"140 St at Garden View Dr SW corner",,  44.748211, -93.238246,,,0,
01104,1104,"140 St at Granite Av SW corner",,  44.746342, -93.219615,,,0,place_14CE
01106,1106,"142 St at Pilot Knob Rd NW corner",,  44.742863, -93.177439,,,0,
01107,1107,"142 St at Everest Av N corner",,  44.742481, -93.183726,,,0,
01108,1108,"142 St at Johnny Cake Ridge Rd NE corner",,  44.742493, -93.186884,,,0,
01110,1110,"Johnny Cake Ridge Rd at 139 St SE corner",,  44.747910, -93.186831,,,0,
01111,1111,"Johnny Cake Ridge Rd at 134 St Ct SE corner",,  44.750790, -93.186778,,,0,
01112,1112,"Johnny Cake Ridge Rd at 133 St Ct SE corner",,  44.753075, -93.187197,,,0,
01113,1113,"Johnny Cake Ridge Rd at Lower 134 St E corner",,  44.754380, -93.186831,,,0,
01127,1127,"Johnny Cake Ridge Rd at Lower 134 St NW corner",,  44.754570, -93.186930,,,0,
01128,1128,"Johnny Cake Ridge Rd at 133 St Ct W corner",,  44.753262, -93.187319,,,0,
01129,1129,"Johnny Cake Ridge Rd at 134 St NW corner",,  44.750973, -93.186923,,,0,
01130,1130,"Johnny Cake Ridge Rd at Farmington Wy NW corner",,  44.748093, -93.186976,,,0,
01134,1134,"Garden View Dr at Oriole Dr W corner",,  44.730973, -93.238230,,,0,
01135,1135,"Garden View Dr at Baldwin Dr NW corner",,  44.729290, -93.238230,,,0,
01136,1136,"Garden View Dr at Whitney Dr NW corner",,  44.725224, -93.238246,,,0,
01137,1137,"Whitney Dr at Cooper Ln SW corner",,  44.725075, -93.233645,,,0,
01138,1138,"Whitney Dr at Harmony Wy SW corner",,  44.725132, -93.229930,,,0,
01139,1139,"Whitney Dr at Newell Dr #1 SW corner",,  44.725689, -93.227885,,,0,
01140,1140,"Whitney Dr at McIntosh Dr S corner",,  44.726528, -93.224924,,,0,
01145,1145,"Whitney Dr at McIntosh Dr NE corner",,  44.726632, -93.224673,,,0,
01146,1146,"Whitney Dr at Cortland Dr NE corner",,  44.726048, -93.227412,,,0,
01147,1147,"Whitney Dr at Harmony Wy N corner",,  44.725266, -93.229685,,,0,
01148,1148,"Whitney Dr at Cooper Ln NE corner",,  44.725178, -93.233393,,,0,
01149,1149,"Whitney Dr at Garden View Dr NE corner",,  44.725186, -93.238039,,,0,
01150,1150,"Garden View Dr at Baldwin Dr SE corner",,  44.728165, -93.238070,,,0,
01151,1151,"Garden View Dr at Oriole Dr SE corner",,  44.730793, -93.238077,,,0,
01152,1152,"Garden View Dr at Co Rd 42 SE corner",,  44.731572, -93.238108,,,0,
01153,1153,"Pennock Av at Palomino Hills P&R W corner",,  44.764603, -93.219920,,,0,place_PHPR
01154,1154,"Pennock Av at 130 St NW corner",,  44.761959, -93.219805,,,0,
01156,1156,"Duckwood Dr at Lexington Av NW corner",,  44.826336, -93.147265,,,0,
01157,1157,"Duckwood Dr at Duckwood Trl NE corner",,  44.826340, -93.150180,,,0,
01162,1162,"Duckwood Dr at Duckwood Trl SW corner",,  44.826237, -93.150126,,,0,
01165,1165,"Garden View Dr at Heywood Pth SE corner",,  44.746807, -93.238062,,,0,
01166,1166,"Garden View Dr at Garden View Ct NW corner",,  44.745087, -93.238215,,,0,
01167,1167,"Garden View Dr at 143 St NW corner",,  44.741879, -93.238207,,,0,
01168,1168,"Garden View Dr at Walnut Ln (N) NW corner",,  44.738392, -93.238917,,,0,
01169,1169,"Garden View Dr at Strese Ln NW corner",,  44.735199, -93.238924,,,0,
01170,1170,"Garden View Dr at Elm Dr NW corner",,  44.733940, -93.238261,,,0,
01171,1171,"Garden View Dr at Co Rd 42 NW corner",,  44.732251, -93.238268,,,0,
01174,1174,"Pennock Av at 145 St SE corner",,  44.739090, -93.222727,,,0,
01175,1175,"Pennock Av at 142 St SE corner",,  44.742958, -93.222712,,,0,
01176,1176,"Pennock Av at 140 St SE corner",,  44.746342, -93.222705,,,0,
01177,1177,"Cedar Av at 140 St NE corner",,  44.747395, -93.217486,,,0,place_14CE
01178,1178,"Pennock Av at 140 St SW corner",,  44.746304, -93.222857,,,0,
01179,1179,"Pennock Av at 142 St NW corner",,  44.743157, -93.222865,,,0,
